R_Satisfaction,QuestionString,QuestionNumber,Rank
0.028895123,Q02_Program_Start_YearOpenEnded_Response,Q02,1
0.055297276,Q07_I_would_describe_myself_asEmotionally_Intelligent,Q07,2
0.099827154,Q08_I_would_describe_myself_asResilient,Q08,3
0.104301801,Q06_I_would_describe_myself_asAdaptable,Q06,4
0.123346603,Q10_The_Five_Step_Lesson_Plan_Template_was_useful_to_me,Q10,5
0.14581132,Q05_I_would_describe_myself_asCulturally_Competent,Q05,6
0.186765742,Q03_I_would_describe_myself_asResourceful,Q03,7
0.196401833,Q30_WorldTeachc_Increased_my_understanding_of_another_culture,Q30,8
0.202265862,Q04_I_would_describe_myself_asPatient,Q04,9
0.220816523,Q12_The_Professional_Development_Modules_Scholarly_Articles_were_useful_to_me,Q12,10
0.292865123,Q24_andI_felt_safe_in_my_community,Q24,11
0.305256484,Q31_WorldTeachd_Improved_my_skills_in_the_local_language,Q31,12
0.306691876,Q23_andI_felt_safe_in_my_home,Q23,13
0.313215671,A02_Satisfaction,A02,14
0.318651003,Q11_The_Data_Analysis_Tool_was_useful_to_me,Q11,15
0.339177947,Q28_WorldTeacha_Offered_a_useful_service_to_the_host_country,Q28,16
0.366352315,Q35_useful_during_my_year_of_serviceOrientation_and_incountry_training,Q35,17
0.381646365,Q22_If_yesc_The_field_staff_member_gave_me_useful_and_professional_feedback,Q22,18
0.383422114,Q29_WorldTeachb_Gave_me_a_meaningful_teaching_experience,Q29,19
0.427150312,Q33_WorldTeachf_Provided_a_worthwhile_experience,Q33,20
0.434500357,Q09_Professional_Learning_Communities_PLCs_were_useful_to_me,Q09,21
0.445466634,Q18_Please_rate_the_Field_Director_on_the_following5_Kept_volunteers_informed_of_changes_and_relevant_information,Q18,22
0.494239049,Q37_useful_during_my_year_of_serviceIncountry_staff_support_and_communication_with_Field_Director,Q37,23
0.500386966,Q32_WorldTeache_Helped_definechange_my_career_outlook,Q32,24
0.505029261,Q17_Please_rate_the_Field_Director_on_the_following4_Followed_through_on_administrative_site_or_housing_issues,Q17,25
0.522651256,Q21_If_yesb_The_field_staff_member_made_me_feel_supported,Q21,26
0.526410178,Q38_useful_during_my_year_of_serviceSite_visitteaching_observation_by_Field_Director,Q38,27
0.571160428,Q16_Please_rate_the_Field_Director_on_the_following3_Anticipated_needs_of_volunteers,Q16,28
0.598353756,Q13_WorldTeachNet_was_useful_to_me,Q13,29
0.607621304,Q14_Please_rate_the_Field_Director_on_the_following1_Was_accessible_and_eager_to_help,Q14,30
0.627612175,Q34_useful_during_my_year_of_servicePredeparture_materials_and_assistance,Q34,31
0.654310098,Q15_Please_rate_the_Field_Director_on_the_following2_Responded_promptly_to_requests_for_help,Q15,32
0.685937884,Q20_If_yesa_The_site_visit_was_useful_to_me,Q20,33
0.695345339,Q25_andI_felt_safe_in_my_country_of_service,Q25,34
0.714258418,Q36_useful_during_my_year_of_serviceMidService_Conference,Q36,35
